,guests,beds,bathrooms,price_night,cleanliness_rate,accuracy_rate,communication_rate,location_rate,check-in_rate,value_rate,amenities_count,bedrooms
165,6.0,3.0,1.0,161.0,4.8,4.8,4.8,4.8,4.9,4.8,40.0,1.0
166,2.0,1.0,1.0,294.0,5.0,4.9,4.9,4.9,4.8,4.6,12.0,1.0
167,3.0,3.0,1.0,91.0,5.0,5.0,5.0,5.0,5.0,5.0,35.0,1.0
168,4.0,3.0,1.0,238.0,4.6,5.0,4.9,5.0,4.9,4.5,16.0,1.0
169,8.0,6.0,2.0,432.0,4.7,4.6,5.0,5.0,5.0,4.8,22.0,4.0
170,2.0,1.0,1.0,50.0,4.9,4.4,4.7,4.9,4.9,4.5,6.0,1.0
171,2.0,1.0,1.0,62.0,4.4,4.6,4.6,4.8,4.6,4.8,31.0,1.0
172,2.0,1.0,1.0,44.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,1.0
173,2.0,1.0,1.0,42.0,4.8,4.9,5.0,5.0,5.0,4.8,12.0,1.0
174,16.0,9.0,5.5,382.0,4.4,4.5,4.9,4.7,4.8,4.7,51.0,8.0
175,2.0,1.0,1.0,57.0,4.8,4.8,4.8,4.8,4.9,4.8,6.0,1.0
176,4.0,2.0,1.0,434.0,5.0,4.9,5.0,4.9,5.0,4.4,26.0,2.0
177,4.0,3.0,1.0,122.0,4.8,4.7,4.8,4.7,4.8,4.2,21.0,1.0
178,4.0,2.0,1.0,33.0,4.8,4.9,4.8,5.0,4.8,4.8,36.0,2.0
179,4.0,2.0,1.0,99.0,5.0,5.0,5.0,5.0,5.0,5.0,53.0,2.0
180,6.0,4.0,1.0,52.0,4.8,4.8,4.8,4.9,4.9,4.7,16.0,2.0
181,7.0,5.0,2.0,151.0,4.7,4.9,4.9,4.9,5.0,4.7,29.0,3.0
182,1.0,1.0,1.0,106.0,4.8,4.7,4.9,4.8,4.9,4.6,6.0,1.0
183,3.0,3.0,1.0,132.0,5.0,5.0,5.0,5.0,5.0,3.3,33.0,2.0
184,2.0,1.0,1.0,49.0,5.0,5.0,5.0,5.0,5.0,4.7,25.0,1.0
185,1.0,1.0,1.0,104.0,4.8,4.8,4.8,4.8,4.9,4.5,22.0,1.0
186,4.0,2.0,1.0,121.0,5.0,5.0,4.9,4.9,4.9,4.8,21.0,1.0
187,2.0,1.0,1.0,193.0,5.0,5.0,5.0,4.9,5.0,4.8,48.0,1.0
188,4.0,1.0,1.0,238.0,4.9,4.9,4.9,4.8,5.0,4.6,28.0,1.0
189,2.0,1.0,1.0,147.0,4.8,4.9,4.8,4.9,4.9,4.8,42.0,1.0
190,2.0,1.0,1.0,105.0,5.0,5.0,5.0,4.7,5.0,4.6,41.0,1.0
191,2.0,2.0,1.0,104.0,4.8,4.8,5.0,5.0,4.9,5.0,32.0,1.0
192,2.0,1.0,1.0,102.0,5.0,4.9,5.0,4.9,5.0,4.8,43.0,1.0
193,2.0,1.0,1.0,36.0,4.6,4.8,4.8,4.6,4.8,4.6,12.0,1.0
194,2.0,1.0,1.0,124.0,5.0,5.0,5.0,5.0,5.0,4.9,30.0,1.0
195,6.0,4.0,1.0,137.0,4.8,4.9,5.0,4.9,5.0,4.8,38.0,2.0
196,2.0,1.0,1.0,14.0,4.6,4.7,4.9,4.8,4.8,4.8,23.0,1.0
197,2.0,1.0,1.0,100.0,4.9,4.9,4.8,4.9,4.8,4.8,22.0,1.0
198,3.0,2.0,2.0,113.0,5.0,5.0,5.0,4.9,5.0,4.9,30.0,1.0
199,5.0,2.0,0.0,52.0,4.5,4.5,4.6,4.8,4.8,4.3,5.0,1.0
200,4.0,2.0,1.0,57.0,4.9,5.0,5.0,4.9,5.0,5.0,38.0,1.0
201,4.0,2.0,0.0,27.0,4.4,4.7,4.7,4.9,4.7,4.7,17.0,1.0
202,2.0,1.0,1.0,125.0,4.9,4.9,5.0,4.9,5.0,4.8,32.0,1.0
203,2.0,1.0,1.0,66.0,4.3,4.7,5.0,5.0,5.0,4.5,35.0,1.0
204,5.0,2.0,1.0,9.0,4.0,4.0,4.2,4.2,4.2,4.3,42.0,3.0
205,2.0,1.0,1.0,23.0,4.8,4.5,4.9,4.5,4.6,4.8,23.0,1.0
206,4.0,3.0,1.0,23.0,4.9,5.0,5.0,4.8,4.9,4.9,19.0,1.0
207,3.0,3.0,1.0,87.0,5.0,5.0,5.0,5.0,5.0,5.0,51.0,1.0
208,5.0,4.0,1.0,141.0,5.0,5.0,5.0,5.0,5.0,5.0,53.0,3.0
209,4.0,3.0,2.0,368.0,5.0,5.0,5.0,5.0,5.0,4.7,29.0,2.0
210,2.0,1.0,1.0,143.0,4.9,5.0,5.0,4.9,4.9,4.9,37.0,1.0
211,2.0,2.0,1.0,116.0,5.0,4.9,5.0,4.8,5.0,4.8,38.0,1.0
212,4.0,2.0,2.0,254.0,5.0,5.0,4.9,4.9,5.0,4.9,43.0,2.0
213,2.0,1.0,1.0,192.0,5.0,5.0,5.0,5.0,5.0,4.8,22.0,1.0
214,6.0,7.0,2.0,241.0,5.0,5.0,5.0,4.8,5.0,4.8,44.0,2.0
215,1.0,1.0,1.0,64.0,4.9,4.8,5.0,4.9,4.9,4.7,43.0,1.0
216,4.0,1.0,2.0,168.0,5.0,5.0,4.9,5.0,5.0,4.9,44.0,2.0
217,2.0,1.0,1.5,140.0,4.9,4.9,4.9,4.9,4.9,4.7,37.0,1.0
218,4.0,2.0,1.0,303.0,4.9,5.0,5.0,5.0,5.0,4.7,51.0,1.0
219,4.0,4.0,1.5,147.0,5.0,5.0,5.0,5.0,5.0,4.8,46.0,2.0
220,2.0,1.0,1.0,88.0,4.9,4.9,5.0,4.9,5.0,4.8,48.0,1.0
